sep=,
author,desc,link,title,upvote
Andrey Frolov,Компания называет телеведущего «послом бренда».,https://vc.ru/users/14066,Иван Ургант стал лицом «Тинькофф банка» в новой рекламе,24
Inna Bulycheva,Практические размышления Николаса Зеусса — дизайн-директора московского офиса Landor.,https://vc.ru/users/109235,Почему digital-упаковка — величайший вызов и величайший шанс для брендов,16
Maria Łacińska,Энтузиаст из Санкт-Петербурга отказался от идеи кафе для узкой аудитории и собирается создать сеть с японским фастфудом для масс-маркета.,https://vc.ru/users/103610,Построить «Теремок» по-японски,11
Ольга Шишкова,Руководитель сервисов Sumo и AppSumo Ной Каган задался целью развить свой канал с помощью советов от эксперта по YouTube-продвижению.,https://vc.ru/users/107557,Маркетинг на YouTube: привлечь 100 тысяч подписчиков до 2018 года,16
Sergey Babaev,Интервью с основателем волгоградской игровой студии «Кефир!» Андреем Пряхиным о последнем успешном проекте и особенностях работы в компании в целом.,https://vc.ru/users/2542,«Разработанная за три месяца Last Day приносит $8 млн ежемесячно»,6
Максим Опилкин,Директор по развитию компании Grotem об основных сложностях сотрудничества бизнеса с курьерскими службами после принятия закона об онлайн-кассах.,https://vc.ru/users/83845,«Обратитесь в другую службу»,15
Albert  Khabibrakhimov,У компании возникли сложности на производстве.,https://vc.ru/users/53259,Tesla выпустила 260 автомобилей Model 3 вместо обещанных 1500 в третьем квартале,11
Albert  Khabibrakhimov,С 2018 года власти BVI будут обмениваться с Россией информацией о бенефициарах местных компаний.,https://vc.ru/users/53259,ФНС исключила Британские Виргинские острова из «чёрного списка» офшоров,8
Albert  Khabibrakhimov,7,https://vc.ru/users/53259,«Яндекс.Карты» позволили рекламировать товары с указанием стоимости,20
Albert  Khabibrakhimov,Министерство закупает российские операционные системы и офисные пакеты.,https://vc.ru/users/53259,Минтранс выделит 55 млн рублей на замену программ Microsoft отечественными аналогами,14
Albert  Khabibrakhimov,После сделки оператор запустит продажи собственных касс.,https://vc.ru/users/53259,МТС приобрела контроль в разработчике онлайн-касс Litebox за 620 млн рублей,4
Alytics,Руководитель ecommerce-направления в Avito Эрик Финнос рассказал об основных направлениях работы компании.,https://vc.ru/users/109438,«Ниша c2c-продаж в России находится в самом начале своего развития»,9
Albert  Khabibrakhimov,Компания планирует занять 18% местного DIY-рынка объёмом свыше 600 млрд рублей.,https://vc.ru/users/53259,Ритейлер «220 Вольт» вышел на рынок Казахстана,9
Albert  Khabibrakhimov,Но пока отечественное кино не окупается в прокате.,https://vc.ru/users/53259,Российские фильмы обошли иностранные по темпам роста сборов,11
Albert  Khabibrakhimov,Сейчас они привязаны к МРОТ. В обоих случаях неизбежен рост ставок.,https://vc.ru/users/53259,Правительство предложило ввести фиксированные страховые взносы для ИП,—
,1,https://vc.ru/27010-selectel-i-sonm-sozdadut-oblachnuyu-infrastrukturu-dlya-biznesa-na-osnove-tehnologii-blokcheyna,Selectel и SONM создадут облачную инфраструктуру для бизнеса на основе технологии блокчейна,
Никита Евдокимов,"Рассказывают Николай Белоусов, Илья Красильщик, Гаджи Махтиев и другие.",https://vc.ru/users/61917,Какие Telegram-каналы читают российские предприниматели и руководители,31
Sergey Vorobyev,Представители Repetit.Ru о нарушении правил игры и бездействии площадок.,https://vc.ru/users/107990,Почему поисковики не борются с продвижением аффилиатных сайтов в контекстной рекламе,44
Olga Antonova,Медиадиректор Molinos Мария Алифанова об использовании RTB и programmatic для продажи медицинского оборудования Auroramed.,https://vc.ru/users/70885,Маркетинг для b2b-сегмента с ROI в 700%,50
Maria Davydova,Взлёты и падения бренда Samsonite.,https://vc.ru/users/74488,Столетняя история самого известного чемодана в мире,24
Maria Łacińska,"Интервью с авторами Telegram-канала «Беспощадный пиарщик» о медиаскандалах, самолюбовании PR-специалистов и состоянии журналистики.",https://vc.ru/users/103610,"«Анонимный канал — это падре, который сидит за ширмой в кабинке»",30
Лера Михайлова,1,https://vc.ru/users/78969,Бывший топ-менеджер «Альфа-банка» Пётр Диденко стал менеджером проектов в «Яндекс.Такси»,10
Andrey Frolov,Разработчикам ботов нужно будет заключить договор интернет-эквайринга с банком.,https://vc.ru/users/14066,«Сбербанк» предложил российским продавцам принимать платежи через ботов в Telegram,18
Ольга Шишкова,Обзор от главного редактора платформы Zapier в Бангкоке Мэттью Гуайя.,https://vc.ru/users/107557,32 полезных расширения для Google Docs,20
Лера Михайлова,"Для запуска организации по приему ставок компании нужен лицензированный партнер, работающий на букмекерском рынке.",https://vc.ru/users/78969,«Матч ТВ» начал поиск партнеров в букмекерский проект «МатчСтавка»,3
Никита Евдокимов,"Главный управляющий директор «Альфа-банка» Алексей Марей о секретах продуктивности, любимых книгах и бизнес-правилах.",https://vc.ru/users/61917,"Единственное, что не может делегировать руководитель — это вопросы стратегии",43
Albert  Khabibrakhimov,Проект был перезапущен в июне.,https://vc.ru/users/53259,Телеканал RTVI сократил часть персонала из-за финансовых сложностей акционера,9
Алексей Рожков,"Каким должен быть стиль общения, чтобы завоевать аудиторию среди представителей поколения Z — к 2020 году они будут составлять 40% рынка.",https://vc.ru/users/109000,Что мы знаем о 16-летних,52
Albert  Khabibrakhimov,"Ему было 64 года, он проработал в компании до 2016 года.",https://vc.ru/users/53259,Умер сооснователь TNS Russia Владимир Гродский,11
Лера Михайлова,"По данным издания, компания презентует новую систему защиты с помощью физических ключей Advanced Protection Program в октябре 2017 года.",https://vc.ru/users/78969,Bloomberg: Google запустит улучшенную систему защиты аккаунтов для политиков и топ-менеджеров,3
Лера Михайлова,Владельцам гостиниц в квартирах нужно будет получать одобрение половины жителей дома.,https://vc.ru/users/78969,Депутаты смягчат законопроект о запрете хостелов в жилых домах,7
Albert  Khabibrakhimov,В ходе сделки российский стартап оценили в $30 млн.,https://vc.ru/users/53259,Производитель миниатюрных проекторов «Мультикубик» привлёк $100 тысяч,17
Лера Михайлова,Компания решила отказаться от политики «first click free».,https://vc.ru/users/78969,Google перестала требовать от СМИ открывать доступ к платным материалам для поисковика,7
Лера Михайлова,Сумма возможного возмещения составит до 900 тысяч рублей.,https://vc.ru/users/78969,«Сбербанк» запустил страхование бизнеса от простоя из-за DDoS-атак и вирусов,7
Дневник.ру,"Генеральный директор цифровой образовательной платформы «Дневник.ру» Гавриил Леви о том, как организовать турнир по компьютерным играм для школьников и привлечь крупного инвестора.",https://vc.ru/users/108610,Киберспорт в образовании: кейс «Дневник.ру»,10
Albert  Khabibrakhimov,Противоречие с европейским законодательством может привести к уходу иностранных компаний с российского рынка.,https://vc.ru/users/53259,Эксперты предупредили о распространении «закона Яровой» на зарубежных операторов,12
Albert  Khabibrakhimov,Покупатели смогут обменять «бриллкоины» на бриллианты российской компании АЛРОСА.,https://vc.ru/users/53259,Сингапурский фонд запустит в России продажи обеспеченной бриллиантами криптовалюты,15
Albert  Khabibrakhimov,"Лучшие позиции у Mail.Ru Group, которой принадлежат «ВКонтакте» и «Одноклассники».",https://vc.ru/users/53259,Сервисы Facebook обошли «Яндекс» по ежедневной мобильной аудитории в рунете,18
Albert  Khabibrakhimov,Инвесторы уверены в привлекательности этого сегмента.,https://vc.ru/users/53259,Экс-владелец «Мортона» с партнёром вложат $10 млн в платформу для автоматизации ICO,8
Albert  Khabibrakhimov,"Центробанк не заинтересован в том, чтобы «надолго застрять» с временной администрацией в этих банках.",https://vc.ru/users/53259,Зампред ЦБ рассказал о «высокой вероятности» присоединения «Бинбанка» к «Открытию»,0
Albert  Khabibrakhimov,Теперь функция доступна только владельцам платной подписки.,https://vc.ru/users/53259,«ВКонтакте» и «Одноклассники» ограничили время фонового прослушивания музыки в приложениях,53
Роман Горбачёв,Объясняет основатель студии «Логомашина» Роман Горбачёв.,https://vc.ru/users/700,Как отличить плохой логотип от хорошего в два счета,40
,,,,
